-1816, -1444, 16464, 25899, -2958, -15157, -1008, -436, 14616, 25785, -4209, -14371, -1004, 2048, 6136, 26013, -1896, -13195, -1816, 1016, 6884, 25270, 1259, -10474, -2332, 2012, 6616, 25569, 2555, -8674, -824, 1416, 5076, 26145, 3843, -8302, -856, 988, 5240, 25567, 2223, -8316, -1604, 1172, 5756, 24262, -1157, -8800, -2920, 2308, 4936, 23433, -4793, -8282, -3264, 2808, 3220, 22475, -7206, -7684, -3808, 3236, 1404, 20995, -9809, -7071, -4492, 3804, 96, 19081, -12001, -6399, -6268, 5408, -1816, 17156, -13475, -5178, -6364, 5640, -1500, 15278, -15281, -3259, -5224, 4796, -2564, 13039, -16407, -2428, -5740, 5580, -3284, 11006, -15300, -1987, -5680, 6172, -3468, 9680, -12845, -1293
1780, -4032, 12420, -20188, 20762, 10520, 1484, -4268, 12788, -20610, 19951, 10908, 1572, -5128, 14320, -23350, 15786, 13653, 3912, -6400, 14120, -25137, 12945, 16017, 5588, -9792, 12828, -25571, 12416, 15343, 7884, -12748, 7448, -26386, 14969, 11961, 5584, -13748, 4684, -28793, 21470, 8004, 1892, -16200, 6812, -32512, 23622, 6253, 1952, -16388, 7844, -32512, 24006, 5219, -3372, -13904, 9016, -32512, 23447, 6275, -1772, -14172, 17140, -32512, 20301, 9544, -644, -17764, 16976, -32512, 16011, 10740, 808, -20912, 13352, -32512, 13002, 10537, 1904, -24788, 9252, -32512, 11969, 10169, 3268, -26828, 8272, -32512, 11395, 9513, 5096, -27936, 11808, -32512, 10281, 9118, 7328, -30216, 14348, -32512, 9721, 7369
-372, 4436, 4768, -6930, 4062, 13331, -240, 4224, 5256, -6625, 4185, 13091, 656, 3928, 5052, -6175, 5985, 12227, 608, 4384, 4688, -7337, 7432, 11197, -1004, 4560, 5204, -9984, 5889, 11924, 236, 4796, 5468, -12894, 3505, 13683, 3008, 3364, 6252, -14507, 2055, 14131, 4252, 2104, 5860, -15384, 1942, 13257, 4496, 1324, 5324, -16664, 2457, 12332, 5568, 568, 4472, -17264, 4799, 11028, 4468, -204, 5496, -17104, 7954, 9425, 3604, -784, 6468, -15736, 9413, 8116, 1900, -1304, 9044, -13929, 8772, 7352, -660, -1092, 12588, -12318, 8553, 8404, -1956, -48, 15576, -12256, 8003, 11547, -1168, 1348, 17604, -12712, 2147, 15466, 3892, 504, 14356, -13344, -791, 17815
-2320, 5312, 9012, 20337, -2178, -12670, -2344, 5204, 8640, 20519, -2207, -12237, -2760, 4344, 6048, 21247, -2966, -10513, -2052, 3844, 4204, 19331, -3530, -9550, -1780, 4936, 1316, 16682, -6259, -9328, -2680, 5344, -2912, 14625, -5786, -9768, -5076, 5208, -3136, 12780, -2174, -9371, -7244, 6628, -2076, 11848, 608, -8099, -8288, 7288, -904, 11417, 2787, -6124, -9084, 8116, 364, 11205, 2855, -3418, -8236, 7684, 1024, 11021, 1421, -806, -7004, 7036, 1440, 10396, -875, 908, -5920, 6524, 1180, 10207, -3240, 1788, -5464, 6812, 472, 9546, -5388, 2341, -5016, 7784, -2100, 7469, -6662, 3031, -4568, 8092, -3580, 4334, -6132, 3792, -4492, 8252, -2536, 1876, -5537, 4533
13320, -28196, 17948, -32512, 15731, 21586, 13564, -28424, 18184, -32512, 16056, 20932, 14760, -29412, 20828, -32512, 18409, 17034, 14656, -27784, 23480, -32512, 20597, 12535, 13532, -24936, 26716, -32512, 20409, 7938, 10264, -19804, 28740, -32512, 18174, 3963, 8896, -15892, 27860, -32512, 15218, 3096, 8792, -15828, 28156, -32512, 14273, 2703, 6860, -16060, 27972, -32512, 12827, 925, 3320, -14740, 29088, -32512, 10015, 38, 556, -16604, 28288, -32512, 6905, 1196, -1468, -15108, 27164, -29451, 5573, 838, 3164, -17192, 24772, -24438, 3754, 316, 1176, -15060, 23344, -17856, 57, 477, 1436, -15236, 16540, -13035, -3407, 240, -112, -14588, 15968, -10765, -5386, -13, -2168, -13364, 13824, -8263, -6387, 1143
4676, -1088, 10412, -3598, 9685, 10671, 3960, -1020, 11272, -3217, 10342, 10591, 4276, 2452, 3176, -7897, 3655, 10688, 6096, 820, 5184, -14732, 10580, 10623, 1952, 520, 14304, -16004, 14468, 12503, 3464, -340, 14804, -16250, 11075, 14329, 3508, -1664, 14568, -16309, 8415, 14903, 4532, -2424, 12644, -16619, 7662, 15450, 3764, -4260, 13268, -17099, 6550, 16301, 4600, -3588, 10484, -18819, 5119, 15694, 4380, -5148, 8136, -20058, 7962, 15691, 3656, -7148, 7820, -22023, 10880, 15731, 3272, -7044, 7156, -23991, 12757, 15425, 2160, -8556, 7996, -25302, 15133, 16089, 1452, -10624, 10652, -25632, 15701, 17210, 2584, -13156, 10784, -25641, 13658, 17257, 3388, -13840, 9496, -26808, 12702, 16886
-3952, -2164, 7532, 16989, 2111, -16389, -4488, -1852, 7928, 16869, 2120, -15777, -4640, -1228, 9096, 17354, 2062, -13906, -5216, 1536, 7768, 18046, 1855, -11429, -5116, 1300, 7784, 18377, 741, -8639, -4192, 412, 8344, 18572, -1611, -6711, -2428, -804, 8188, 18516, -4280, -6138, -1496, -1128, 6208, 18435, -6194, -6259, -1008, -728, 4836, 18328, -7792, -7131, -1772, -308, 2364, 17266, -8268, -7705, -2740, 332, 708, 15377, -7867, -8127, -3888, 1452, 1660, 13606, -8094, -7884, -5196, 2192, 1604, 12112, -8708, -6888, -5704, 2876, 788, 10463, -8929, -5635, -5860, 3464, 416, 8302, -9325, -3905, -5244, 3572, -16, 6128, -9175, -2149, -4980, 3284, -340, 4306, -8096, -731
9508, -11052, 16384, -19363, 15652, 8988, 9532, -11104, 16368, -19476, 15807, 8287, 8380, -10276, 15904, -19029, 15517, 4895, 6648, -7900, 13576, -18409, 15062, 4609, 6888, -8768, 11756, -18905, 17600, 8326, 6736, -11328, 14300, -19959, 18979, 9477, 6208, -11760, 15640, -21067, 18053, 8682, 7268, -12316, 15436, -21864, 17966, 8731, 8508, -14052, 15800, -22093, 19416, 8200, 10452, -17308, 14644, -23814, 19520, 6070, 11704, -17836, 13108, -28540, 21828, 2115, 12964, -18428, 12572, -31915, 26384, -2041, 9188, -16624, 13828, -32512, 28401, -4109, 3408, -17152, 10880, -32512, 26910, -5350, 4064, -15704, 13100, -32512, 28207, -5665, 336, -18200, 17188, -32512, 25947, -4982, -220, -18636, 17968, -32512, 24279, -6379
-4352, 3296, 4568, 16828, -1867, -6383, -4600, 3512, 4656, 16492, -2096, -5913, -5484, 4440, 4188, 14627, -1468, -3354, -3652, 4016, 6636, 14399, -2271, -1210, -1700, 3092, 7396, 15181, -2814, -674, -368, 1448, 7032, 16033, -4384, -1324, 176, 1620, 5080, 16113, -5655, -2519, 624, 1704, 3360, 15767, -6109, -4130, -700, 2664, 1532, 14631, -6410, -5434, -1856, 3396, 960, 13107, -6435, -5790, -2644, 4072, 224, 11722, -5877, -5445, -3432, 4548, -240, 10614, -4756, -4770, -4188, 5504, 356, 9450, -4323, -3945, -4400, 5128, 864, 7489, -5089, -2696, -3360, 5636, 976, 5529, -5269, -1447, -3408, 5704, 2008, 3923, -5873, 129, -3304, 6008, 2112, 2714, -6591, 1831
-5612, 5192, -836, 8311, 3113, -10188, -6124, 5404, -1124, 7977, 3653, -9657, -7380, 5956, -172, 6155, 5322, -6168, -6932, 6332, 1380, 4410, 6135, -3303, -3608, 4416, 6092, 4047, 5604, -2013, -1852, 3900, 9504, 5566, 2835, -2331, -1968, 4016, 9004, 7272, -216, -2877, -3024, 4868, 7292, 7810, -3245, -2732, -3968, 5468, 4416, 7097, -5226, -1815, -4124, 5408, 4184, 6303, -5803, -623, -3392, 4964, 4600, 6445, -5572, 117, -2604, 4492, 4356, 6716, -5187, 609, -2348, 5224, 4352, 6324, -5356, 845, -1672, 6004, 3960, 4629, -6323, 910, -672, 6824, 3328, 2429, -6384, 1257, -548, 6952, 5448, 901, -6918, 1945, -520, 7480, 5396, 401, -6243, 1854
